=== AStar_v1_1 alpha/d_ref 参数敏感性分析 ===
时间: 20260830_164948
总耗时: 2.3 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫
alpha: [0.0, ..., 0.8] (9 级)
d_ref: [0.00, ..., 0.15] (8 级)
重复: 1 次
SimplifyPath: false
SmoothPath: false
热力图路径代价: 原始

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.0     0.00 |        802      76.53      76.53         68        113       20.1
     0.0     0.02 |        802      76.53      76.53         68        113       15.4
     0.0     0.04 |        802      76.53      76.53         68        113       11.9
     0.0     0.06 |        802      76.53      76.53         68        113       11.1
     0.0     0.08 |        802      76.53      76.53         68        113       10.9
     0.0     0.10 |        802      76.53      76.53         68        113       10.4
     0.0     0.12 |        802      76.53      76.53         68        113       10.6
     0.0     0.15 |        802      76.53      76.53         68        113       10.8
     0.1     0.00 |        590      76.53      76.53         68        106        8.7
     0.1     0.02 |        641      76.53      76.53         68        101        9.7
     0.1     0.04 |        687      76.53      76.53         68         96        9.7
     0.1     0.06 |        713      76.53      76.53         68         97       10.2
     0.1     0.08 |        724      76.53      76.53         68         99       10.1
     0.1     0.10 |        732      76.53      76.53         68        102        9.8
     0.1     0.12 |        743      76.53      76.53         68        103       10.0
     0.1     0.15 |        747      76.53      76.53         68        101       10.5
     0.2     0.00 |        328      76.53      76.53         68        167        7.2
     0.2     0.02 |        394      76.53      76.53         68        148        6.8
     0.2     0.04 |        566      76.53      76.53         68        126        8.6
     0.2     0.06 |        618      76.53      76.53         68        110        8.3
     0.2     0.08 |        644      76.53      76.53         68        103        9.3
     0.2     0.10 |        695      76.53      76.53         68        104        9.3
     0.2     0.12 |        702      76.53      76.53         68         99       10.3
     0.2     0.15 |        718      76.53      76.53         68         97       11.1
     0.3     0.00 |        182      76.53      76.53         68        158        3.9
     0.3     0.02 |        326      78.53      78.53         70        152        5.7
     0.3     0.04 |        474      77.94      77.94         69        146        7.1
     0.3     0.06 |        577      77.94      77.94         69        116        9.8
     0.3     0.08 |        579      76.53      76.53         68        126        8.8
     0.3     0.10 |        613      76.53      76.53         68        107        8.5
     0.3     0.12 |        636      76.53      76.53         68        103        8.4
     0.3     0.15 |        671      76.53      76.53         68        113        8.9
     0.4     0.00 |        154      76.53      76.53         68        159        3.6
     0.4     0.02 |        236      79.94      79.94         71        181        4.1
     0.4     0.04 |        413      79.11      79.11         71        172        7.1
     0.4     0.06 |        449      77.94      77.94         69        158        6.7
     0.4     0.08 |        546      77.94      77.94         69        127        8.1
