=== AStar_v1_1 alpha/d_ref 参数敏感性分析 ===
时间: 20260830_170457
总耗时: 1.3 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫x80
alpha: [0.2, ..., 1.0] (5 级)
d_ref: [0.02, ..., 0.10] (5 级)
重复: 1 次
SimplifyPath: true
SmoothPath: true
热力图路径代价: Simplify+Smooth

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.2     0.02 |        394      76.53      73.53         68        148       20.8
     0.2     0.04 |        566      76.53      73.04         68        126       11.7
     0.2     0.06 |        618      76.53      73.53         68        110       12.8
     0.2     0.08 |        644      76.53      73.53         68        103        9.7
     0.2     0.10 |        695      76.53      73.53         68        104       11.7
     0.4     0.02 |        236      79.94      73.04         71        181        5.6
     0.4     0.04 |        413      79.11      73.04         71        172        7.0
     0.4     0.06 |        449      77.94      73.04         69        158        7.0
     0.4     0.08 |        546      77.94      73.04         69        127       10.0
     0.4     0.10 |        572      77.11      73.04         69        122       11.8
     0.6     0.02 |        184      81.70      72.44         74        192        6.1
     0.6     0.04 |        242      79.94      73.04         71        198        6.0
     0.6     0.06 |        311      79.11      73.04         71        173        5.4
     0.6     0.08 |        449      79.11      73.04         71        172        7.5
     0.6     0.10 |        446      77.94      73.04         69        164        7.9
     0.8     0.02 |        210      81.70      72.44         74        198        4.5
     0.8     0.04 |        204      81.36      73.04         72        200        3.9
     0.8     0.06 |        247      79.94      73.04         71        206        7.5
     0.8     0.08 |        313      79.94      73.04         71        175        8.8
     0.8     0.10 |        400      79.11      73.04         71        186        7.3
     1.0     0.02 |        267      81.70      72.44         74        241        7.1
     1.0     0.04 |        196      83.36      72.44         74        198        4.8
     1.0     0.06 |        211      81.36      73.04         72        208        7.0
     1.0     0.08 |        249      79.94      73.04         71        206        8.7
     1.0     0.10 |        300      79.94      73.04         71        178        5.4

--- Map2_kong ---
地图大小: 80, 起点: [4,4], 终点: [77,77], 障碍物: 1559
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.2     0.02 |        746     117.88     109.14         99        311       14.4
     0.2     0.04 |       1038     114.95     107.88         94        327       18.3
     0.2     0.06 |       1465     114.37     107.83         93        305       23.8
     0.2     0.08 |       1833     114.95     107.57         94        266       25.7
     0.2     0.10 |       1725     113.78     107.83         92        281       24.9
     0.4     0.02 |        621     125.30     109.29        106        488       12.5
     0.4     0.04 |       1222     120.71     109.62        101        445       23.1
     0.4     0.06 |        895     117.54     108.29         97        386       20.6
     0.4     0.08 |       1549     118.47     108.98        100        432       24.2
     0.4     0.10 |       1133     115.54     108.11         95        317       17.6
     0.6     0.02 |        578     132.47     112.31        114        450       10.5
     0.6     0.04 |        914     126.12     109.29        106        552       16.4
     0.6     0.06 |       1038     123.64     109.89        106        477       19.0
     0.6     0.08 |        895     119.88     109.79        101        402       14.7
     0.6     0.10 |        929     117.54     108.29         97        384       16.0
     0.8     0.02 |        545     136.23     109.02        119        459       11.4
     0.8     0.04 |        960     131.54     109.22        111        639       20.5
     0.8     0.06 |        991     126.12     109.29        106        571       18.2
     0.8     0.08 |        988     121.30     107.90        102        566       18.5
     0.8     0.10 |        839     121.05     109.62        103        371       13.6
     1.0     0.02 |        396     137.50     118.07        124        393        8.0
     1.0     0.04 |        584     135.64     109.02        118        475       10.9
     1.0     0.06 |       1144     132.81     111.62        116        637       19.9
     1.0     0.08 |       1171     126.71     109.41        107        531       20.8
     1.0     0.10 |       1034     122.47     107.90        104        594       18.0

--- 迷宫x80 ---
地图大小: 80, 起点: [4,4], 终点: [77,77], 障碍物: 1176
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.2     0.02 |       1372     121.88     111.83        103        402       22.3
     0.2     0.04 |       1359     119.30     112.21        100        406       24.0
     0.2     0.06 |       1239     118.12     112.19         98        336       20.5
     0.2     0.08 |       1553     118.71     112.75         99        347       25.2
     0.2     0.10 |       1531     117.30     111.97         98        327       24.0
     0.4     0.02 |       1244     129.74     112.34        115        399       20.9
     0.4     0.04 |       1211     121.05     111.06        103        343       20.5
     0.4     0.06 |       1217     118.71     111.10         99        345       19.1
     0.4     0.08 |       1263     118.47     111.83        100        353       22.3
     0.4     0.10 |       1273     119.05     112.10        101        349       20.4
     0.6     0.02 |        792     131.25     111.67        119        401       14.3
     0.6     0.04 |       1053     129.25     112.05        117        415       18.1
     0.6     0.06 |       1277     128.67     112.05        116        374       22.8
     0.6     0.08 |       1668     124.23     112.67        107        436       26.2
     0.6     0.10 |       1273     119.88     111.06        101        350       23.6
     0.8     0.02 |        665     139.60     124.70        129        391       12.3
     0.8     0.04 |        944     129.84     111.67        118        428       15.8
     0.8     0.06 |       1119     129.25     112.05        117        435       21.9
     0.8     0.08 |       1151     128.67     112.05        116        376       19.4
     0.8     0.10 |       1847     124.47     113.53        106        511       31.3
     1.0     0.02 |        693     142.43     124.70        131        408       14.1
     1.0     0.04 |        788     139.01     113.64        128        375       13.6
     1.0     0.06 |        975     129.84     111.67        118        429       18.3
     1.0     0.08 |       1124     129.25     112.05        117        441       18.8
     1.0     0.10 |       1309     131.25     112.05        119        385       20.5

