=== AStar_v1_2 alpha/d_ref 参数敏感性分析 ===
时间: 20260831_155648
总耗时: 1.7 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫x80
alpha: [0.0, ..., 0.8] (9 级)
d_ref: [0.00, ..., 0.15] (8 级)
重复: 1 次
SimplifyPath: false
SmoothPath: false
热力图路径代价: 原始

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.0     0.00 |        802      76.53      76.53         68        113        6.5
     0.0     0.02 |        802      76.53      76.53         68        113        5.3
     0.0     0.04 |        802      76.53      76.53         68        113        4.7
     0.0     0.06 |        802      76.53      76.53         68        113        4.9
     0.0     0.08 |        802      76.53      76.53         68        113        5.9
     0.0     0.10 |        802      76.53      76.53         68        113        4.5
     0.0     0.12 |        802      76.53      76.53         68        113        4.5
     0.0     0.15 |        802      76.53      76.53         68        113        4.5
     0.1     0.00 |        590      76.53      76.53         68        106        3.6
     0.1     0.02 |        641      77.11      77.11         69        103        4.5
     0.1     0.04 |        670      76.53      76.53         68        104        4.0
     0.1     0.06 |        701      76.53      76.53         68        103        4.0
     0.1     0.08 |        716      76.53      76.53         68         97        4.3
     0.1     0.10 |        728      76.53      76.53         68        103        4.9
     0.1     0.12 |        732      76.53      76.53         68        106        4.1
     0.1     0.15 |        741      76.53      76.53         68        101        4.9
     0.2     0.00 |        328      76.53      76.53         68        167        2.8
     0.2     0.02 |        426      77.70      77.70         70        150        3.1
     0.2     0.04 |        570      78.28      78.28         71        113        3.5
     0.2     0.06 |        601      77.70      77.70         70        113        4.1
     0.2     0.08 |        622      77.11      77.11         69        109        4.0
     0.2     0.10 |        682      77.11      77.11         69        100        4.1
     0.2     0.12 |        680      76.53      76.53         68        105        4.1
     0.2     0.15 |        698      76.53      76.53         68        102        4.5
     0.3     0.00 |        182      76.53      76.53         68        158        1.8
     0.3     0.02 |        291      79.36      79.36         70        164        2.3
     0.3     0.04 |        426      79.11      79.11         71        159        3.7
     0.3     0.06 |        554      79.11      79.11         71        123        3.6
     0.3     0.08 |        583      78.28      78.28         71        122        3.8
     0.3     0.10 |        612      78.28      78.28         71        109        4.7
     0.3     0.12 |        602      77.11      77.11         69        112        6.1
     0.3     0.15 |        645      77.11      77.11         69        114        4.0
     0.4     0.00 |        154      76.53      76.53         68        159        2.0
     0.4     0.02 |        244      79.94      79.94         71        184        2.2
     0.4     0.04 |        299      79.70      79.70         72        192        2.4
     0.4     0.06 |        411      79.11      79.11         71        176        3.0
     0.4     0.08 |        498      79.11      79.11         71        142        3.3
     0.4     0.10 |        545      78.28      78.28         71        129        3.5
     0.4     0.12 |        583      78.28      78.28         71        122        4.6
