=== AStar_v1_2 alpha/d_ref 参数敏感性分析 ===
时间: 20260831_223134
总耗时: 11.4 秒

--- 实验配置 ---
地图: 杂乱不规则, Map2_kong, 迷宫x80, 迷宫x80_2, 迷宫, Map1
alpha: [0.1, ..., 0.7] (7 级)
d_ref: [0.02, ..., 0.14] (7 级)
重复: 5 次
SimplifyPath: true
SmoothPath: true
热力图路径代价: Simplify+Smooth

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- 杂乱不规则 ---
地图大小: 30, 起点: [3,3], 终点: [28,28], 障碍物: 162
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.1     0.02 |        204      41.21      39.18         36         87        3.0
     0.1     0.04 |        218      41.21      39.18         36         95        1.8
     0.1     0.06 |        247      41.21      39.18         36        100        1.8
     0.1     0.08 |        266      41.21      39.18         36         99        2.6
     0.1     0.10 |        284      41.21      39.18         36         96        1.9
     0.1     0.12 |        300      41.21      39.18         36         90        2.5
     0.1     0.14 |        307      41.21      39.18         36         89        2.5
     0.2     0.02 |        115      41.80      40.11         37         79        1.1
     0.2     0.04 |        160      41.80      40.11         37         81        1.2
     0.2     0.06 |        187      41.80      40.11         37         82        1.5
     0.2     0.08 |        199      41.21      39.18         36         88        1.5
     0.2     0.10 |        207      41.21      39.18         36         95        1.6
     0.2     0.12 |        219      41.21      39.18         36         96        1.8
     0.2     0.14 |        242      41.21      39.18         36        100        2.5
     0.3     0.02 |         85      42.38      40.11         38         84        1.0
     0.3     0.04 |        128      41.80      40.11         37         80        1.7
     0.3     0.06 |        122      41.80      40.11         37         83        1.0
     0.3     0.08 |        155      41.80      40.11         37         81        1.3
     0.3     0.10 |        166      41.80      40.11         37         78        1.7
     0.3     0.12 |        206      41.80      40.11         37         98        1.8
     0.3     0.14 |        232      41.80      40.11         37        107        1.8
     0.4     0.02 |         66      42.38      39.35         38         75        0.8
     0.4     0.04 |        100      42.38      40.11         38         93        1.0
     0.4     0.06 |        115      42.38      40.11         38         89        1.1
     0.4     0.08 |        140      41.80      40.11         37         76        1.2
     0.4     0.10 |        128      41.80      40.11         37         83        1.2
     0.4     0.12 |        158      41.80      40.11         37         80        1.2
     0.4     0.14 |        166      41.80      40.11         37         78        1.6
     0.5     0.02 |         65      44.14      41.67         41         78        0.8
     0.5     0.04 |         64      42.38      39.92         38         75        0.8
     0.5     0.06 |        110      42.38      40.11         38         88        1.1
     0.5     0.08 |        114      42.38      40.11         38         90        1.1
     0.5     0.10 |        135      42.38      40.11         38         81        8.4
     0.5     0.12 |        166      41.80      40.11         37         95        1.6
     0.5     0.14 |        135      41.80      40.11         37         81        1.1
     0.6     0.02 |         56      44.73      41.67         42         77        0.7
     0.6     0.04 |         61      44.14      41.67         41         75        0.8
     0.6     0.06 |         71      42.38      39.92         38         79        0.8
     0.6     0.08 |         80      42.38      39.92         38         82        1.0
     0.6     0.10 |        114      42.38      40.11         38         90        1.2
     0.6     0.12 |        128      42.38      40.11         38         86        1.3
     0.6     0.14 |        164      42.38      40.11         38         99        1.5
     0.7     0.02 |         56      44.73      41.67         42         77        0.8
     0.7     0.04 |         58      44.73      41.67         42         76        0.8
     0.7     0.06 |         62      42.38      39.92         38         77        1.0
     0.7     0.08 |         72      42.38      39.92         38         78        1.1
     0.7     0.10 |         81      42.38      39.92         38         83        1.3
     0.7     0.12 |        114      42.38      40.11         38         90        1.2
     0.7     0.14 |        124      42.38      40.11         38         90        1.2

--- Map2_kong ---
地图大小: 80, 起点: [4,4], 终点: [77,77], 障碍物: 1559
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.1     0.02 |       1318     114.37     108.12         93        320       12.8
     0.1     0.04 |       1676     113.78     108.29         92        279       12.9
     0.1     0.06 |       1628     112.61     107.93         90        292       11.9
     0.1     0.08 |       1812     112.61     108.08         90        271       13.6
     0.1     0.10 |       1819     112.02     107.93         89        297       13.1
     0.1     0.12 |       1801     111.44     107.93         88        280       12.7
     0.1     0.14 |       1839     111.44     108.29         88        274       12.5
     0.2     0.02 |        483     116.95     108.28         96        362        5.6
     0.2     0.04 |       1074     116.95     108.21         96        346        8.9
     0.2     0.06 |       1626     116.95     108.18         96        315       12.8
     0.2     0.08 |       1621     115.20     108.12         93        306       13.1
     0.2     0.10 |       1868     115.20     108.12         93        283       14.0
     0.2     0.12 |       1939     114.37     108.59         93        263       14.7
     0.2     0.14 |       1648     112.61     107.93         90        289       12.0
     0.3     0.02 |        583     122.12     109.95        102        465        6.1
     0.3     0.04 |        847     120.12     109.53        100        362        8.3
     0.3     0.06 |        860     116.95     108.32         96        381        7.8
     0.3     0.08 |       1530     117.54     108.26         97        362       12.9
     0.3     0.10 |       1648     116.95     108.21         96        335       13.6
     0.3     0.12 |       1481     115.20     107.74         93        296       12.2
     0.3     0.14 |       1719     115.20     108.12         93        300       13.4
     0.4     0.02 |        504     122.95     108.59        102        465        5.5
     0.4     0.04 |        662     120.12     109.55        100        421        6.4
     0.4     0.06 |        906     120.71     109.53        101        382        8.4
     0.4     0.08 |        762     116.37     108.22         95        400        6.8
     0.4     0.10 |       1290     117.54     108.36         97        357       10.6
     0.4     0.12 |       1443     116.95     108.21         96        344       11.8
     0.4     0.14 |       1711     116.95     108.21         96        341       14.5
     0.5     0.02 |        688     125.78     108.31        104        636        7.7
     0.5     0.04 |        702     122.47     110.00        104        551        7.2
     0.5     0.06 |        711     120.71     108.88        101        396        7.0
     0.5     0.08 |        996     120.71     109.53        101        435        9.3
     0.5     0.10 |        753     116.37     108.22         95        410        7.9
     0.5     0.12 |       1058     116.95     108.32         96        407        9.5
     0.5     0.14 |       1458     117.54     108.36         97        382       12.2
     0.6     0.02 |        379     136.67     118.07        124        353        4.3
     0.6     0.04 |        626     124.12     108.31        104        537        6.9
     0.6     0.06 |        681     122.71     110.13        103        511        7.1
     0.6     0.08 |        814     120.71     108.88        101        394        7.3
     0.6     0.10 |        976     120.71     109.53        101        419        9.1
     0.6     0.12 |        750     116.37     108.22         95        414        7.4
     0.6     0.14 |        919     116.95     108.32         96        391        8.8
     0.7     0.02 |        343     137.50     118.07        124        352        3.7
     0.7     0.04 |        732     124.12     108.31        104        653        8.0
     0.7     0.06 |        795     122.47     110.00        104        622        8.5
     0.7     0.08 |        668     120.12     109.55        100        443        7.8
     0.7     0.10 |        780     120.12     108.88        100        388        9.7
     0.7     0.12 |        999     120.71     109.53        101        425       12.9
     0.7     0.14 |        677     117.54     108.36         97        367        6.3

--- 迷宫x80 ---
地图大小: 80, 起点: [4,4], 终点: [77,77], 障碍物: 1176
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.1     0.02 |       1083     117.30     112.19         98        310       11.1
     0.1     0.04 |       1494     118.47     112.75        100        337       11.6
     0.1     0.06 |       1710     118.47     112.69        100        329       13.9
     0.1     0.08 |       1965     117.88     111.98         99        308       14.5
     0.1     0.10 |       2064     117.88     112.41         99        288       14.0
     0.1     0.12 |       2107     117.88     112.41         99        275       14.5
     0.1     0.14 |       2138     117.88     112.41         99        266       14.8
     0.2     0.02 |        951     119.88     112.43        101        371        8.2
     0.2     0.04 |       1197     120.12     111.93        100        389        9.6
     0.2     0.06 |       1297     120.12     112.41        100        353       10.0
     0.2     0.08 |       1383     120.12     112.41        100        321       10.4
     0.2     0.10 |       1432     117.88     111.98         99        363       12.2
     0.2     0.12 |       1413     117.88     111.98         99        311       11.0
     0.2     0.14 |       1731     117.88     111.98         99        347       12.7
     0.3     0.02 |       1142     129.64     118.09        112        380       16.4
     0.3     0.04 |       1165     125.64     113.53        108        384        9.3
     0.3     0.06 |       1371     125.05     113.42        107        422       11.3
     0.3     0.08 |       1351     123.05     111.97        105        407       11.6
     0.3     0.10 |       1308     119.30     112.69        100        354       11.8
     0.3     0.12 |       1444     120.12     112.41        100        360       11.1
     0.3     0.14 |       1483     120.12     111.98        100        343       11.4
     0.4     0.02 |        843     131.84     111.67        120        368        7.7
     0.4     0.04 |       1141     126.81     113.53        110        457       10.4
     0.4     0.06 |       1151     126.23     113.53        109        401       10.1
     0.4     0.08 |       1236     125.64     113.53        108        361       10.3
     0.4     0.10 |       1292     124.81     113.14        108        328       10.2
     0.4     0.12 |       1444     123.64     112.96        106        394       11.7
     0.4     0.14 |       1303     119.30     113.03        100        345        9.9
     0.5     0.02 |        562     130.43     111.67        119        364        5.6
     0.5     0.04 |        960     132.43     111.67        121        412        8.5
     0.5     0.06 |       1231     129.50     114.88        116        473       10.6
     0.5     0.08 |       1316     129.50     114.88        116        381       10.6
     0.5     0.10 |       1215     125.64     113.53        108        378       10.3
     0.5     0.12 |       1259     125.05     113.42        107        347       10.1
     0.5     0.14 |       1309     124.81     113.14        108        325       10.0
     0.6     0.02 |        573     131.60     111.67        121        380        5.9
     0.6     0.04 |        801     131.01     111.67        120        418        7.0
     0.6     0.06 |       1050     128.33     112.23        114        452        8.7
     0.6     0.08 |       1243     129.50     114.88        116        484       11.2
     0.6     0.10 |       1288     129.50     114.88        116        425       10.8
     0.6     0.12 |       1348     128.91     114.88        115        360       10.7
     0.6     0.14 |       1233     125.05     113.53        107        364        9.8
     0.7     0.02 |        426     139.60     114.50        129        352        4.3
     0.7     0.04 |        715     131.60     111.67        121        415        6.5
     0.7     0.06 |        844     131.01     111.67        120        421        7.0
     0.7     0.08 |       1086     128.91     112.23        115        449        8.8
     0.7     0.10 |       1256     129.50     114.88        116        487       11.1
     0.7     0.12 |       1283     129.50     114.88        116        433       10.6
     0.7     0.14 |       1356     129.50     114.88        116        368       11.2

--- 迷宫x80_2 ---
地图大小: 80, 起点: [4,4], 终点: [77,77], 障碍物: 1176
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.1     0.02 |       1816     123.15     114.65        108        260       13.1
     0.1     0.04 |       2134     124.33     115.32        110        260       15.2
     0.1     0.06 |       2297     124.33     115.32        110        256       15.3
     0.1     0.08 |       2321     123.05     115.25        105        258       15.5
     0.1     0.10 |       2326     122.47     114.72        104        256       14.9
     0.1     0.12 |       2401     122.47     114.72        104        270       16.2
     0.1     0.14 |       2425     122.47     114.72        104        271       15.7
     0.2     0.02 |       1654     126.33     116.76        112        302       12.8
     0.2     0.04 |       1860     126.57     115.32        111        290       14.2
     0.2     0.06 |       2011     126.57     115.32        111        305       14.6
     0.2     0.08 |       2091     126.57     115.32        111        303       15.1
     0.2     0.10 |       2063     123.74     114.65        109        300       14.1
     0.2     0.12 |       2104     123.74     114.65        109        272       14.7
     0.2     0.14 |       2304     123.74     114.65        109        281       15.7
     0.3     0.02 |       1041     129.64     118.09        112        354        8.8
     0.3     0.04 |       1457     128.91     116.76        115        331       11.2
     0.3     0.06 |       1861     127.74     116.76        113        337       14.2
     0.3     0.08 |       1919     126.57     115.32        111        307       14.4
     0.3     0.10 |       1975     125.74     115.32        111        314       14.3
     0.3     0.12 |       2067     126.57     115.32        111        312       14.7
     0.3     0.14 |       2115     126.57     114.65        111        308       14.6
     0.4     0.02 |        942     129.50     116.76        116        427        8.5
     0.4     0.04 |       1117     128.91     116.76        115        424        9.5
     0.4     0.06 |       1428     128.91     116.76        115        381       12.5
     0.4     0.08 |       1677     128.91     116.76        115        331       12.5
     0.4     0.10 |       1681     127.74     116.76        113        319       18.9
     0.4     0.12 |       1982     127.15     116.02        112        312       14.2
     0.4     0.14 |       1980     125.74     115.32        111        305       14.8
     0.5     0.02 |        685     128.08     114.65        115        381        6.4
     0.5     0.04 |       1091     132.77     118.45        123        450        9.5
     0.5     0.06 |       1269     131.60     118.45        121        443       10.7
     0.5     0.08 |       1581     131.60     118.45        121        343       12.7
     0.5     0.10 |       1579     128.91     116.76        115        334       11.7
     0.5     0.12 |       1728     128.33     116.76        114        343       13.1
     0.5     0.14 |       1740     127.74     116.76        113        329       12.8
     0.6     0.02 |        617     128.67     114.65        116        384        5.5
     0.6     0.04 |        965     130.43     115.06        119        440        8.6
     0.6     0.06 |       1132     129.50     114.65        116        444        9.7
     0.6     0.08 |       1249     131.60     118.45        121        423       10.0
     0.6     0.10 |       1504     131.60     118.45        121        373       11.8
     0.6     0.12 |       1500     129.50     117.62        116        332       11.0
     0.6     0.14 |       1614     128.33     116.76        114        335       12.6
     0.7     0.02 |        501     135.01     119.36        124        393        5.0
     0.7     0.04 |        916     131.84     114.65        120        454        7.9
     0.7     0.06 |       1095     129.50     114.65        116        479       10.2
     0.7     0.08 |       1176     128.91     114.65        115        445       10.4
     0.7     0.10 |       1283     131.60     118.45        121        415       10.3
     0.7     0.12 |       1507     131.60     118.45        121        378       14.1
     0.7     0.14 |       1652     131.15     114.65        116        327       12.4

--- 迷宫 ---
地图大小: 30, 起点: [3,3], 终点: [27,21], 障碍物: 155
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.1     0.02 |        432      40.63      38.08         35         73        2.9
     0.1     0.04 |        440      40.63      38.08         35         74        3.1
     0.1     0.06 |        444      40.63      38.08         35         73        2.8
     0.1     0.08 |        446      40.63      38.08         35         72        2.6
     0.1     0.10 |        448      40.63      38.08         35         72        3.4
     0.1     0.12 |        451      40.63      38.08         35         71        3.6
     0.1     0.14 |        453      40.63      38.08         35         71        3.2
